,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
0,0,0.0,129.590014,116.175985,124.912264,138.465878,148.037279,139.156722,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.414029,13.553614,8.880557,78.2
3,3,0.1,119.970511,126.642806,118.266606,138.792536,143.960011,137.51605,-42.109766,74.796472,-60.44731,35.016862,-58.535909,-47.883007,0.33,0.094868,0.33,0.094868,0.161555,0.134164,9.619503,10.466821,6.645658,1.167229,4.077268,1.640673,6.672294,20.52593,6.443962,70.3
6,6,0.2,118.39485,120.576245,114.231931,138.109628,136.118053,142.061438,-65.866072,-117.216631,-95.159511,4.908939,-222.477795,110.72126,0.331361,0.174929,0.331361,0.174929,0.06,0.123693,11.195164,10.824471,10.680334,1.195055,11.919226,5.010976,2.181395,23.877697,5.943385,49.2
9,9,0.3,110.740615,116.207194,110.173619,137.729528,136.32026,127.414221,-273.647234,-237.67021,-29.352586,-18.203644,152.05551,42.291984,0.073485,0.127279,0.073485,0.127279,0.03,0.03,18.849399,10.824471,14.738646,1.195055,16.785536,16.056951,5.466579,27.555909,8.90604,45.8
12,12,0.4,119.378066,128.308051,109.435626,137.684705,131.934455,129.129593,161.069123,260.521499,-38.665828,27.683685,-14.116952,18.365278,0.067082,0.06,0.067082,0.06,0.073485,0.051962,18.849399,13.227142,15.476639,2.058446,16.785536,16.056951,8.929985,28.24908,2.804863,51.8
15,15,0.5,118.756626,120.751706,107.211508,138.927584,136.734354,129.293823,-47.509351,-94.57109,-4.683114,-37.003141,46.020127,26.278325,0.067082,0.37108,0.067082,0.37108,0.073485,0.042426,18.849399,13.227142,17.700756,3.399106,16.785536,16.056951,1.99508,31.716076,7.440531,33.3
18,18,0.6,114.433965,118.382117,106.483721,138.731633,138.075751,126.023426,61.763255,46.429092,-18.452764,-21.003782,-1.388362,-39.728174,0.067082,0.094868,0.067082,0.094868,0.0,0.0,18.849399,13.227142,18.428543,3.399106,16.785536,16.31973,3.948152,32.247912,12.052324,58.7
21,21,0.7,115.404049,125.828607,105.05159,137.922056,138.293237,126.317749,-104.205695,92.277036,15.790776,-57.420214,-11.549488,-59.863379,0.042426,0.872582,0.042426,0.872582,0.12,0.12,18.849399,13.227142,20.387034,3.399106,16.785536,16.31973,10.424559,32.870467,11.975488,70.0
24,24,0.8,115.925061,126.521295,102.668788,138.454697,138.694152,125.284096,-64.550289,9.828016,-14.556878,4.903273,15.646194,7.109225,0.067082,0.06,0.067082,0.06,0.03,0.03,18.849399,13.227142,22.243477,3.399106,16.785536,17.014316,10.596234,35.785909,13.410056,52.5
27,27,0.9,116.232509,127.123383,104.21042,136.439845,125.22931,115.363286,-74.139057,-249.880082,119.386651,-76.470101,-148.382253,-83.325572,1.445303,0.930967,1.445303,0.930967,0.06,0.06,18.849399,20.37181,24.681399,3.721177,22.80797,26.698153,10.890874,32.229425,9.866024,52.4
