,Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24,LDF_bloodflow
0,0,129.590014,116.175985,124.912264,138.465878,148.037279,139.156722,
3,3,119.970511,126.642806,118.266606,138.792536,143.960011,137.51605,78.2
6,6,118.39485,120.576245,114.231931,138.109628,136.118053,142.061438,70.3
9,9,110.740615,116.207194,110.173619,137.729528,136.32026,127.414221,49.2
12,12,119.378066,128.308051,109.435626,137.684705,131.934455,129.129593,45.8
15,15,118.756626,120.751706,107.211508,138.927584,136.734354,129.293823,51.8
18,18,114.433965,118.382117,106.483721,138.731633,138.075751,126.023426,33.3
21,21,115.404049,125.828607,105.05159,137.922056,138.293237,126.317749,58.7
24,24,115.925061,126.521295,102.668788,138.454697,138.694152,125.284096,70.0
27,27,116.232509,127.123383,104.21042,136.439845,125.22931,115.363286,52.5
30,30,125.01728,129.766477,95.829148,139.497532,129.45505,117.6503,52.4
33,33,119.907524,134.565774,95.903831,136.084627,119.32958,100.256101,42.3
36,36,120.971939,139.126586,92.206024,133.664902,122.83113,115.094126,43.7
39,39,128.063306,137.019502,85.721478,130.847841,128.668896,119.708826,39.2
42,42,131.385644,134.024196,84.137565,129.462038,132.280086,122.910569,31.9
45,45,124.960062,140.742627,81.724732,125.546235,134.056747,116.277411,69.6
48,48,125.989327,136.831044,77.637023,127.507281,135.313813,117.087128,78.0
51,51,123.338495,144.391229,75.619105,123.04265,130.886933,117.441212,65.1
54,54,131.054798,140.729492,72.865943,121.473203,131.929642,125.213075,49.1
57,57,133.734274,145.203452,70.896196,118.470806,135.734895,125.655042,44.4
60,60,136.499555,143.819441,68.476529,113.445947,147.434867,127.94027,45.5
63,63,136.475872,145.840127,68.093782,112.255616,151.042728,130.181513,45.8
66,66,137.771519,145.514298,66.575849,110.712607,152.777491,126.005939,46.6
69,69,138.534709,141.187008,64.300739,109.869474,157.013371,128.623822,84.3
72,72,138.850907,141.878149,63.29036,107.008968,158.184513,129.782489,80.6
75,75,137.325161,144.592011,63.546872,105.716814,138.892979,118.416744,66.9
78,78,141.776572,150.768307,60.667945,100.50938,149.553274,122.648389,63.1
81,81,140.956183,145.685135,60.290779,106.389846,165.814419,138.420412,55.4
84,84,144.103443,143.91119,58.38591,110.223488,146.672387,125.686468,52.8
87,87,149.243406,142.467363,57.165327,111.690457,151.010131,128.490086,48.0
90,90,149.214032,149.825809,55.853275,105.700015,147.45313,135.401876,68.5
93,93,152.406914,148.520843,54.902737,110.049239,144.865185,139.090207,115.2
96,96,155.915701,144.341519,53.624868,120.888386,141.342187,150.382078,119.4
99,99,157.625364,144.433682,53.559965,123.491777,147.580437,136.616241,90.8
102,102,155.771306,140.135176,52.554575,122.726681,149.258234,137.792834,78.6
105,105,158.721723,152.474759,52.551803,127.062072,139.875832,148.46319,76.4
108,108,158.922093,145.718145,50.449909,120.868837,136.564584,138.608888,85.9
111,111,159.494739,132.384841,48.681447,121.558251,145.731626,133.142415,72.1
114,114,158.089289,121.435558,46.469381,127.269634,129.215891,130.395816,89.1
117,117,160.755372,124.382114,46.43053,125.329508,127.335956,114.170957,124.9
120,120,156.03761,129.890995,44.515441,126.798549,123.358012,115.028769,157.7
123,123,146.257608,128.25469,44.739717,129.136069,132.753788,111.827585,149.7
126,126,141.791239,127.237887,44.468631,130.66888,139.598027,112.495602,128.1
129,129,144.100581,115.423107,45.037591,127.029406,146.634758,115.503963,129.1
132,132,148.498569,128.302381,43.896382,128.762165,132.804033,100.54062,137.1
135,135,146.02415,131.637854,44.678646,130.368625,128.923794,100.271177,122.5
138,138,143.410766,127.804193,46.010604,131.172377,132.502293,107.690114,105.2
141,141,147.490603,147.102991,42.671147,135.118378,127.743987,113.266537,118.9
144,144,141.713945,128.288069,41.541098,133.771502,137.330871,113.710035,171.6
147,147,145.288166,118.812912,41.657667,132.621915,141.709843,116.523427,162.7
150,150,141.959777,127.181021,41.514769,131.593912,134.798574,109.142132,163.3
153,153,138.630137,133.808992,41.496655,129.579976,131.437369,106.222291,142.8
156,156,141.903099,125.008006,39.280053,130.105771,145.214385,117.112562,106.9
159,159,138.792043,124.664931,38.918025,130.77721,138.42585,111.296758,94.9
162,162,149.181285,131.135978,39.147679,127.813004,135.609891,107.196813,110.4
165,165,141.505086,133.831777,38.873778,130.882391,125.908132,104.280507,124.5
168,168,126.154546,133.713454,38.776395,131.549941,125.665728,103.530551,149.2
171,171,132.577952,140.096477,39.409006,133.517867,124.709394,98.626305,138.0
174,174,136.843162,138.382862,35.052245,134.481704,121.653509,103.909737,137.6
177,177,124.94741,128.075843,33.835442,133.702966,122.952855,102.86925,123.5
180,180,135.854778,127.848085,35.188589,131.78699,131.733972,106.98645,120.2
183,183,143.451427,127.56026,32.677531,132.892094,127.44604,100.29775,115.0
186,186,140.691893,132.110155,33.696516,130.810406,133.215906,104.852613,96.2
189,189,131.591924,144.845471,31.60005,135.052527,128.148295,97.415948,117.7
192,192,126.394113,132.906496,29.994679,133.165436,126.541427,111.316074,155.6
195,195,121.368241,128.506206,30.922218,134.004118,128.771822,119.911973,149.3
198,198,127.753163,122.428571,27.412641,136.100899,116.233175,113.694753,141.6
201,201,122.819361,133.709066,26.667319,136.809537,121.747483,111.664735,140.2
204,204,123.3992,129.316679,28.636936,134.354427,130.269801,113.471987,126.4
207,207,119.962029,129.520099,26.798113,134.008066,116.67024,110.821703,123.4
210,210,126.99047,141.661079,25.520497,134.927899,114.879623,103.579972,130.7
213,213,128.053648,137.913904,26.282729,134.442762,124.434937,104.308918,179.2
216,216,130.026415,127.795066,22.421431,132.805168,112.644894,106.392919,173.1
219,219,132.673042,137.229309,25.138809,129.781028,107.478346,109.204711,160.8
222,222,125.981611,121.485718,21.973602,133.520384,102.035702,106.128274,154.5
225,225,120.502945,127.841081,19.463968,134.143793,106.977248,94.36832,128.0
228,228,123.22761,126.584912,22.238911,132.967556,106.486042,92.603713,123.9
231,231,135.377423,127.999104,17.964511,134.314208,105.649712,91.585762,104.9
234,234,125.691979,110.470641,19.042893,133.653922,106.8427,91.311728,131.9
237,237,130.964302,121.009472,15.476848,136.699735,102.852617,84.841185,162.2
240,240,118.502949,124.629868,18.253876,135.591604,103.853146,87.683507,145.2
243,243,123.17648,121.531454,17.958609,134.765217,105.192054,93.064284,140.4
246,246,137.636534,120.391563,19.231287,129.910319,101.845488,94.615604,141.4
249,249,124.092112,117.477328,16.734684,133.197737,101.632101,84.553933,114.3
252,252,123.564407,116.401378,18.407963,132.813551,98.507311,85.29942,106.7
255,255,122.602854,117.742205,12.213118,129.808319,95.163211,90.644432,113.5
258,258,126.66786,112.435245,12.42321,128.135936,95.306682,91.680327,147.6
261,261,115.345918,109.411,13.693658,129.929302,93.384586,94.120247,171.8
264,264,111.786804,114.633057,14.150796,129.326038,92.938607,91.088425,159.6
267,267,120.730801,121.981678,13.802775,127.818539,94.027949,90.507422,146.1
270,270,120.223176,124.947812,11.66543,126.328954,95.955057,94.843578,130.9
273,273,101.728645,118.938029,20.35863,129.340778,100.704959,99.134275,130.7
276,276,109.53193,115.99279,12.372202,129.561707,90.888309,86.958092,128.7
279,279,102.661493,116.106488,13.138107,128.22585,96.394327,99.671098,121.3
282,282,104.289239,117.843848,12.877006,129.950872,89.545875,83.782371,149.4
285,285,109.988655,115.735678,8.766778,124.186378,80.681665,76.932565,171.8
288,288,117.108509,111.211265,9.766888,127.799729,84.250945,80.000489,153.5
291,291,128.658642,115.065533,11.984676,127.368239,90.492654,88.34114,137.1
294,294,122.525486,112.482633,9.47439,121.096957,83.699658,77.526149,149.4
297,297,122.546914,108.333709,13.644325,126.592977,94.352579,91.45413,151.1
300,300,136.496756,108.817367,12.007579,122.893582,91.256109,89.221067,140.3
303,303,126.956496,106.52953,8.26731,123.373179,87.700793,89.216407,111.5
306,306,134.130364,102.793753,12.932297,123.321493,92.549235,94.434379,106.2
