Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24
0,129.590014,116.175985,124.912264,138.465878,148.037279,139.156722
1,126.379033,118.02134,122.36815,138.722129,147.620648,139.046698
2,121.37417,124.14959,120.281517,137.625307,145.911208,139.11215
3,119.970511,126.642806,118.266606,138.792536,143.960011,137.51605
4,121.606588,127.000455,118.51949,138.820362,143.210587,137.050462
5,120.590386,124.483466,117.403915,137.945997,143.53398,138.37073
6,118.39485,120.576245,114.231931,138.109628,136.118053,142.061438
7,118.289646,119.715704,113.257589,137.656703,133.19892,130.873028
8,119.862189,124.129534,111.152038,138.336316,131.251743,126.004488
9,110.740615,116.207194,110.173619,137.729528,136.32026,127.414221
10,112.55209,115.080909,111.032973,136.808417,134.865264,128.077518
11,114.009095,119.624001,110.724486,136.761916,132.40502,128.517417
12,119.378066,128.308051,109.435626,137.684705,131.934455,129.129593
13,118.269371,127.165834,108.935386,138.254787,132.590694,129.761036
14,120.340271,123.904076,107.367612,140.161022,135.20035,128.417878
15,118.756626,120.751706,107.211508,138.927584,136.734354,129.293823
16,119.627351,121.344794,106.795341,139.736938,135.209592,125.741708
17,112.37519,116.834481,107.098813,139.43176,138.122029,127.347699
18,114.433965,118.382117,106.483721,138.731633,138.075751,126.023426
19,118.367074,122.531886,105.905624,139.41942,138.571466,126.276797
20,118.877572,122.752706,104.52523,139.836064,138.67822,128.313195
21,115.404049,125.828607,105.05159,137.922056,138.293237,126.317749
22,116.075493,126.502918,104.612742,137.899479,139.131754,126.510942
23,118.076737,126.193694,103.154017,138.291255,138.172612,125.047122
24,115.925061,126.521295,102.668788,138.454697,138.694152,125.284096
25,118.677379,133.328024,101.240586,139.267761,135.398409,122.699681
26,118.70381,135.452719,100.230865,138.988848,130.175385,118.140805
27,116.232509,127.123383,104.21042,136.439845,125.22931,115.363286
28,117.384061,125.852196,102.485188,137.867395,125.795431,116.374295
29,123.155853,128.705263,100.529855,140.088352,126.425411,116.177007
30,125.01728,129.766477,95.829148,139.497532,129.45505,117.6503
31,121.000922,128.534401,95.715473,138.772893,129.211311,116.944468
32,120.903098,130.189082,94.72548,136.565207,123.283211,110.303845
33,119.907524,134.565774,95.903831,136.084627,119.32958,100.256101
34,119.625288,131.102994,96.55066,136.113094,121.50953,107.437549
35,121.831714,142.334329,93.641358,133.947069,122.786493,111.218227
