              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:   
Subject No:   
Date of Birth:   
Subject Address:   
Operator:    
Date: 10:46:00 (7/5/2026)  
DRT4 Serial Number: #3173  
Comment:   
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:  10/sec 
Time Constant: off 
Time Offset: 0.05 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0.0	 78.2 
2	0	0	0.1	 70.3 
3	0	0	0.2	 49.2 
4	0	0	0.3	 45.8 
5	0	0	0.4	 51.8 
6	0	0	0.5	 33.3 
7	0	0	0.6	 58.7 
8	0	0	0.7	 70.0 
9	0	0	0.8	 52.5 
10	0	0	0.9	 52.4 
11	0	0	1.0	 42.3 
12	0	0	1.1	 43.7 
13	0	0	1.2	 39.2 
14	0	0	1.3	 31.9 
15	0	0	1.4	 69.6 
16	0	0	1.5	 78.0 
17	0	0	1.6	 65.1 
18	0	0	1.7	 49.1 
19	0	0	1.8	 44.4 
20	0	0	1.9	 45.5 
21	0	0	2.0	 45.8 
22	0	0	2.1	 46.6 
23	0	0	2.2	 84.3 
24	0	0	2.3	 80.6 
25	0	0	2.4	 66.9 
26	0	0	2.5	 63.1 
27	0	0	2.6	 55.4 
28	0	0	2.7	 52.8 
29	0	0	2.8	 48.0 
30	0	0	2.9	 68.5 
31	0	0	3.0	115.2 
32	0	0	3.1	119.4 
33	0	0	3.2	 90.8 
34	0	0	3.3	 78.6 
35	0	0	3.4	 76.4 
36	0	0	3.5	 85.9 
37	0	0	3.6	 72.1 
38	0	0	3.7	 89.1 
39	0	0	3.8	124.9 
40	0	0	3.9	157.7 
41	0	0	4.0	149.7 
42	0	0	4.1	128.1 
43	0	0	4.2	129.1 
44	0	0	4.3	137.1 
45	0	0	4.4	122.5 
46	0	0	4.5	105.2 
47	0	0	4.6	118.9 
48	0	0	4.7	171.6 
49	0	0	4.8	162.7 
50	0	0	4.9	163.3 
51	0	0	5.0	142.8 
52	0	0	5.1	106.9 
53	0	0	5.2	 94.9 
54	0	0	5.3	110.4 
55	0	0	5.4	124.5 
56	0	0	5.5	149.2 
57	0	0	5.6	138.0 
58	0	0	5.7	137.6 
59	0	0	5.8	123.5 
60	0	0	5.9	120.2 
61	0	0	6.0	115.0 
62	0	0	6.1	 96.2 
63	0	0	6.2	117.7 
64	0	0	6.3	155.6 
65	0	0	6.4	149.3 
66	0	0	6.5	141.6 
67	0	0	6.6	140.2 
68	0	0	6.7	126.4 
69	0	0	6.8	123.4 
70	0	0	6.9	130.7 
71	0	0	7.0	179.2 
72	0	0	7.1	173.1 
73	0	0	7.2	160.8 
74	0	0	7.3	154.5 
75	0	0	7.4	128.0 
76	0	0	7.5	123.9 
77	0	0	7.6	104.9 
78	0	0	7.7	131.9 
79	0	0	7.8	162.2 
80	0	0	7.9	145.2 
81	0	0	8.0	140.4 
82	0	0	8.1	141.4 
83	0	0	8.2	114.3 
84	0	0	8.3	106.7 
85	0	0	8.4	113.5 
86	0	0	8.5	147.6 
87	0	0	8.6	171.8 
88	0	0	8.7	159.6 
89	0	0	8.8	146.1 
90	0	0	8.9	130.9 
91	0	0	9.0	130.7 
92	0	0	9.1	128.7 
93	0	0	9.2	121.3 
94	0	0	9.3	149.4 
95	0	0	9.4	171.8 
96	0	0	9.5	153.5 
97	0	0	9.6	137.1 
98	0	0	9.7	149.4 
99	0	0	9.8	151.1 
100	0	0	9.9	140.3 
101	0	0	10.0	111.5 
102	0	0	10.1	106.2 
103	0	0	10.2	152.7 
104	0	0	10.3	144.1 
105	0	0	10.4	139.6 
106	0	0	10.5	131.0 
107	0	0	10.6	113.8 
108	0	0	10.7	106.9 
109	0	0	10.8	 87.2 
110	0	0	10.9	 76.4 
111	0	0	11.0	118.0 
112	0	0	11.1	143.8 
113	0	0	11.2	136.1 
114	0	0	11.3	129.5 
115	0	0	11.4	104.4 
116	0	0	11.5	 93.0 
117	0	0	11.6	 88.1 
118	0	0	11.7	 99.7 
119	0	0	11.8	148.6 
120	0	0	11.9	120.8 
121	0	0	12.0	101.3 
122	0	0	12.1	118.9 
123	0	0	12.2	 99.1 
124	0	0	12.3	 67.0 
125	0	0	12.4	 75.8 
126	0	0	12.5	119.1 
127	0	0	12.6	124.8 
128	0	0	12.7	120.0 
129	0	0	12.8	133.4 
130	0	0	12.9	110.4 
131	0	0	13.0	 99.6 
132	0	0	13.1	 94.0 
133	0	0	13.2	102.5 
134	0	0	13.3	125.2 
135	0	0	13.4	102.1 
136	0	0	13.5	111.3 
137	0	0	13.6	108.9 
138	0	0	13.7	 77.0 
139	0	0	13.8	 59.7 
140	0	0	13.9	 48.2 
141	0	0	14.0	 75.0 
142	0	0	14.1	112.1 
143	0	0	14.2	105.0 
144	0	0	14.3	 98.7 
145	0	0	14.4	 79.5 
146	0	0	14.5	 61.7 
147	0	0	14.6	 50.2 
148	0	0	14.7	 55.1 
149	0	0	14.8	 86.9 
150	0	0	14.9	109.5 
151	0	0	15.0	 91.7 
152	0	0	15.1	100.7 
153	0	0	15.2	101.9 
154	0	0	15.3	 91.0 
155	0	0	15.4	 70.4 
156	0	0	15.5	 75.4 
157	0	0	15.6	 99.5 
158	0	0	15.7	119.1 
159	0	0	15.8	 94.2 
160	0	0	15.9	 96.2 
161	0	0	16.0	 91.8 
162	0	0	16.1	 77.6 
163	0	0	16.2	 74.2 
164	0	0	16.3	 77.9 
165	0	0	16.4	119.5 
166	0	0	16.5	113.3 
167	0	0	16.6	101.8 
168	0	0	16.7	102.4 
169	0	0	16.8	 87.2 
170	0	0	16.9	 69.1 
171	0	0	17.0	 63.9 
172	0	0	17.1	 64.8 
173	0	0	17.2	 93.4 
174	0	0	17.3	 97.7 
175	0	0	17.4	 85.6 
176	0	0	17.5	107.3 
177	0	0	17.6	100.6 
178	0	0	17.7	 82.0 
179	0	0	17.8	 61.8 
180	0	0	17.9	 70.4 
181	0	0	18.0	128.4 
182	0	0	18.1	139.7 
183	0	0	18.2	110.9 
184	0	0	18.3	 81.3 
185	0	0	18.4	 76.0 
186	0	0	18.5	 77.7 
187	0	0	18.6	 77.2 
188	0	0	18.7	104.0 
189	0	0	18.8	129.9 
190	0	0	18.9	112.3 
191	0	0	19.0	100.6 
192	0	0	19.1	 84.9 
193	0	0	19.2	 81.3 
194	0	0	19.3	 72.1 
195	0	0	19.4	 86.7 
196	0	0	19.5	126.2 
197	0	0	19.6	112.8 
198	0	0	19.7	107.3 
199	0	0	19.8	117.7 
200	0	0	19.9	114.2 
201	0	0	20.0	102.2 
202	0	0	20.1	 87.1 
203	0	0	20.2	119.8 
204	0	0	20.3	136.8 
205	0	0	20.4	122.6 
206	0	0	20.5	128.1 
207	0	0	20.6	 94.1 
208	0	0	20.7	 82.6 
209	0	0	20.8	 76.6 
210	0	0	20.9	 69.8 
211	0	0	21.0	133.7 
212	0	0	21.1	123.1 
213	0	0	21.2	113.4 
214	0	0	21.3	 97.3 
215	0	0	21.4	 76.2 
216	0	0	21.5	 72.5 
217	0	0	21.6	 66.0 
218	0	0	21.7	 79.8 
219	0	0	21.8	116.9 
220	0	0	21.9	130.3 
221	0	0	22.0	144.0 
222	0	0	22.1	134.6 
223	0	0	22.2	108.0 
224	0	0	22.3	140.9 
225	0	0	22.4	122.3 
226	0	0	22.5	108.6 
227	0	0	22.6	115.3 
228	0	0	22.7	100.2 
229	0	0	22.8	 91.4 
230	0	0	22.9	 90.5 
231	0	0	23.0	 73.6 
232	0	0	23.1	 68.1 
233	0	0	23.2	 62.0 
234	0	0	23.3	 83.7 
235	0	0	23.4	123.8 
236	0	0	23.5	102.5 
237	0	0	23.6	 96.5 
238	0	0	23.7	102.9 
239	0	0	23.8	 89.7 
240	0	0	23.9	 71.5 
241	0	0	24.0	 85.0 
242	0	0	24.1	121.3 
243	0	0	24.2	126.0 
244	0	0	24.3	117.9 
245	0	0	24.4	108.2 
246	0	0	24.5	105.7 
247	0	0	24.6	 93.9 
248	0	0	24.7	 84.1 
249	0	0	24.8	 99.8 
250	0	0	24.9	154.1 
251	0	0	25.0	135.0 
252	0	0	25.1	126.6 
253	0	0	25.2	138.7 
254	0	0	25.3	118.2 
255	0	0	25.4	114.6 
256	0	0	25.5	 98.2 
257	0	0	25.6	113.5 
258	0	0	25.7	152.8 
259	0	0	25.8	134.0 
260	0	0	25.9	126.8 
261	0	0	26.0	117.5 
262	0	0	26.1	109.9 
263	0	0	26.2	109.4 
264	0	0	26.3	106.7 
265	0	0	26.4	158.3 
266	0	0	26.5	152.2 
267	0	0	26.6	121.8 
268	0	0	26.7	134.8 
269	0	0	26.8	107.8 
270	0	0	26.9	121.9 
271	0	0	27.0	119.6 
